product_id,product_name,category,discounted_price,actual_price,discount_percentage,rating,rating_count,review_id,review_title,img_link,product_link
B09MM6P76N,7SEVEN® Compatible Lg Smart Tv Remote Suitable for Any LG LED OLED LCD UHD Plasma Android Television and AKB75095303 replacement of Original Lg Tv Remote Control,"Electronics|HomeTheater,TV&Video|Accessories|RemoteControls",₹349,₹599,42%,4.2,284,"R13ILSZ9UIVWZM,R3U8Q4IBUKCLZV,R3350GX4GSKBOU,R22N3TMJEOR2L9,RFGESZVO4TD3R,RBWH0KVFX695F,R19SVOH9M0O5AZ,R81UJPCPDBR41","Works for LG 4K LED,Awesome product,Good copy Remote,This remote works!!! A relief!,Good replacement for the original remote control,Timely helped me for my TV,It will work(for me😊),Just works",https://m.media-amazon.com/images/I/31Bfu6liMWL._SX300_SY300_QL70_FMwebp_.jpg,https://www.amazon.in/7SEVENTM-Universal-Replacement-Original-AKB75095303/dp/B09MM6P76N/ref=sr_1_143?qid=1672909130&s=electronics&sr=1-143
B01D5H8LDM,"AmazonBasics 3.5mm to 2-Male RCA Adapter Cable For Tablet, Smartphone (Black, 15 feet)","Electronics|HomeTheater,TV&Video|Accessories|Cables|RCACables",₹489,"₹1,200",59%,4.4,"69,538","R1G81NIXTA4Q20,RZWZCWS5OSBP1,R2W1MPYI9H8S4T,R3MNP5J7S2T1YC,R9I0QZ1U8YU92,R226UNRVT8C1UE,R7A4EU8NKCTXI,R3KLYYUBC7THAD","Solid and quality material,Good product, everything good to buy,Clear and Cristal clear sound,Good,Super,Value for money,Good cable but over priced,Decent quality and 4.6M long",https://m.media-amazon.com/images/I/513rqzxlDpL._SX300_SY300_QL70_FMwebp_.jpg,https://www.amazon.in/AmazonBasics-3-5mm-2-Male-Adapter-cable/dp/B01D5H8LDM/ref=sr_1_144?qid=1672909130&s=electronics&sr=1-144
B0B1YY6JJL,Acer 109 cm (43 inches) I Series 4K Ultra HD Android Smart LED TV AR43AR2851UDFL (Black),"Electronics|HomeTheater,TV&Video|Televisions|SmartTelevisions","₹23,999","₹34,990",31%,4.3,"4,703","R1EBS3566VCSCG,R24MB66WRPSN2A,R25UU2M1B9BO5X,R1NXW7PGVND2LE,R3OSBPH7X9AQUK,R2I8RVEPDM0IMQ,R5RES2LABIW7Q,R3A3IRV8ZWP1U9","Wonderful TV and Awful installation service from amazon,Acer Television Review,It's a good product for that price.,Good for the price,Almost a complete package,Nice Product,Good product,Super designed",https://m.media-amazon.com/images/W/WEBP_402378-T1/images/I/417QOjrqyBL._SY300_SX300_QL70_FMwebp_.jpg,https://www.amazon.in/Acer-inches-Ultra-Android-AR43AR2851UDFL/dp/B0B1YY6JJL/ref=sr_1_146?qid=1672909131&s=electronics&sr=1-146
B09QGZM8QB,"Wayona Usb Type C 65W 6Ft/2M Long Fast Charging Cable Compatible For Samsung S22 S20 Fe S21 Ultra A33 A53 A01 A73 A70 A51 M33 M53 M51 M31(2M, Black)",Computers&Accessories|Accessories&Peripherals|Cables&Accessories|Cables|USBCables,₹399,₹999,60%,4.3,"2,806","RGNARUOE22V1A,R5KYEFZM5496A,R38R0ACYQPV9HZ,R17M1JPCDUNH21,R1H9QE5M69Z3VS,R249MO4XBSOM0Q,R2BI8BOVC79W95,R1V5XKRZ49DQK3","Good material, fast charging,Costly but good product,Support type c super fast charging,Good quality,Sturdy cable & has decent charging capabilities.,Good buy.,Gud product.,Very good product",https://m.media-amazon.com/images/I/41Rd-jDNOmL._SY445_SX342_QL70_FMwebp_.jpg,https://www.amazon.in/Wayona-Charging-Cable-Compatible-Samsung/dp/B09QGZM8QB/ref=sr_1_149?qid=1672909131&s=electronics&sr=1-149
B08L4SBJRY,"Saifsmart Outlet Wall Mount Hanger Holder for Dot 3rd Gen, Compact Bracket Case Plug and Built-in Cable Management for Kitchen Bathroom, Bedroom (Black)",Electronics|HomeAudio|Accessories|SpeakerAccessories|Mounts,₹349,"₹1,299",73%,4,"3,295","R375X8JYM7319I,RJ5U2OT67JPML,R1CENO6ESG485Z,RBKGVCEB3S8C2,R2ISR7TBORKI9B,R33BQQEDDFKSME,R2CEQPEZJ0VDR2,RX593R5637QHH","Good Quality but cheap color,Good product ,at this price,Good product,अच्छा है।,Nice product with finishing issues,Perfect Gen 3 Echo Dot Holder,Happy,Your power outlet has to bear the weight",https://m.media-amazon.com/images/W/WEBP_402378-T2/images/I/41-AORr2udL._SX300_SY300_QL70_FMwebp_.jpg,https://www.amazon.in/SAIFSMART-Compact-Bracket-Management-Bathroom/dp/B08L4SBJRY/ref=sr_1_150?qid=1672909131&s=electronics&sr=1-150
B09X79PP8F,"MI 2-in-1 USB Type C Cable (Micro USB to Type C) 30cm for Smartphone, Headphone, Laptop (White)",Computers&Accessories|Accessories&Peripherals|Cables&Accessories|Cables|USBCables,₹179,₹299,40%,3.9,81,"R3HWZS22FT40ZO,R2AEYDZRIEO82E,R8M1T6I3PDMWQ,R2KCCRTIUFD9WT,R2M9YHXLQ6FXFA,R159MVF48WN5LH,R1OZ6VY8C0AKZB,RARR0KXLZMJXS","Very useful,Good Product,Good,Very very short wire,Good quality, suitable to use with Powerbank,Great,Not satisfactory,bad not use no working usb cebels no replec prodacts",https://m.media-amazon.com/images/I/21fnxCjCF1L._SX300_SY300_QL70_FMwebp_.jpg,https://www.amazon.in/USB-Cable-Micro-Type-30cm/dp/B09X79PP8F/ref=sr_1_151?qid=1672909131&s=electronics&sr=1-151
B082T6GVG9,"AmazonBasics New Release ABS USB-A to Lightning Cable Cord, Fast Charging MFi Certified Charger for Apple iPhone, iPad Tablet (3-Ft, White)",Computers&Accessories|Accessories&Peripherals|Cables&Accessories|Cables|USBCables,₹689,"₹1,500",54%,4.2,"42,301","RLWAYTZH1YOFR,R3IOG04KDBKXTQ,R35LSY4BN61KLY,R2G97CU5VMMLET,R221NM5M3SY0PW,R112AEM8D2X3S7,R3VM7P3773KRV,R3VUA0WWCNQK33","Sturdy and good quality,Small cable, works fine,Average,Good one,It affects iPhones’ battery health,Did not like,awesome product,Good",https://m.media-amazon.com/images/I/31R8-XSK40L._SX342_SY445_QL70_FMwebp_.jpg,https://www.amazon.in/AmazonBasics-Lightning-USB-Cable-Certified/dp/B082T6GVG9/ref=sr_1_153?qid=1672909131&s=electronics&sr=1-153
B0B3XY5YT4,LG 108 cm (43 inches) 4K Ultra HD Smart LED TV 43UQ7500PSF (Ceramic Black),"Electronics|HomeTheater,TV&Video|Televisions|SmartTelevisions","₹30,990","₹49,990",38%,4.3,"1,376","RC3ZLDRM8GA9T,RMDN4PSDM8SKK,R1YFAMDJ7P0SY3,R2WX7G1LIQSEBM,R2L4UCJ30902KF,R2MCXM8TACTRFL,R1KFS9LDEOT49N,R29FE7S1YAMO8N","Love Amazon but lg is misleading,Amazing product,Worst service from LG,Good,Simply beautiful,Satisfied with the TV,Great deal,It is quite ok",https://m.media-amazon.com/images/W/WEBP_402378-T1/images/I/51dOjIreG4L._SX300_SY300_QL70_FMwebp_.jpg,https://www.amazon.in/LG-inches-Ultra-43UQ7500PSF-Ceramic/dp/B0B3XY5YT4/ref=sr_1_154?qid=1672909131&s=electronics&sr=1-154
B0B4HKH19N,"pTron Solero 331 3.4Amps Multifunction Fast Charging Cable, 3-in-1 USB Cable Micro USB/Type-C/iOS, Made in India, Durable & Strong & Tangle-free 118cm in Length (Black)",Computers&Accessories|Accessories&Peripherals|Cables&Accessories|Cables|USBCables,₹249,₹931,73%,3.9,"1,075","R1Q323BB35OP30,RJ0CSQUUWFF9W,R23OB4XMH3S9QD,R1K5FQR6CYMQAV,R3QMD6JDUGQUCI,R1R5LTMWOXI38M,R241G3F07D3OBH,R1O7BQ61DXRVWW","The metal pin is losing it's strength,Sahi h bs 44 rupe ki and dilivery charge 40,Good Charging cable,Good sturdy micro usb cable with good charging speeds,Cheapest micro USB cable in the market,boat is better than this,I bought this for 199rs best charging cable for all mobiles,Good",https://m.media-amazon.com/images/I/41gUqtvpULL._SX300_SY300_QL70_FMwebp_.jpg,https://www.amazon.in/pTron-3-4Amps-Multifunction-Charging-Tangle-free/dp/B0B4HKH19N/ref=sr_1_155?qid=1672909131&s=electronics&sr=1-155
B08TGG316Z,"10k 8k 4k HDMI Cable, Certified 48Gbps 1ms Ultra High Speed HDMI 2.1 Cable 4k 120Hz 144Hz 2k 165Hz 8k 60Hz Dynamic HDR ARC eARC DTS:X Compatible for Mac Gaming PC Soundbar TV Monitor Laptop PS5 4 Xbox","Electronics|HomeTheater,TV&Video|Accessories|Cables|HDMICables",₹999,"₹2,399",58%,4.6,"3,664","R1482M3Z6TF62M,RX9ISCNT5KUMA,RY1MX82BJD2VD","Fantastic Ultra High Speed HDMI cable,Amazing product,Regarding cable",https://m.media-amazon.com/images/W/WEBP_402378-T1/images/I/41+AJMzMo7L._SX342_SY445_.jpg,https://www.amazon.in/Cable-Certified-48Gbps-Ultra-Dynamic/dp/B08TGG316Z/ref=sr_1_156?qid=1672909131&s=electronics&sr=1-156
B071VMP1Z4,LRIPL Compatible Sony Bravia LCD/led Remote Works with Almost All Sony led/LCD tv's,"Electronics|HomeTheater,TV&Video|Accessories|RemoteControls",₹399,₹399,0%,3.9,"1,951","R17PVKPPX1FJYC,R34PJA3123VAT3,R1AYZQXNSM6U7F,RAWHBOZFQG4DA,R20LZMIZSXKAM8,RK1BO9M1S8VSI,R1XYZODV57P3LI,R12NL8VVWSST6Q","Works like Charm,Useful,Good,Very nice,Doesn't perform like an original.,Working properly,Most of the functions work,It’s Working",https://m.media-amazon.com/images/W/WEBP_402378-T1/images/I/41hpz9rFbZL._SX300_SY300_QL70_FMwebp_.jpg,https://www.amazon.in/LRIPL-Compatible-Bravia-Remote-Almost/dp/B071VMP1Z4/ref=sr_1_157?qid=1672909131&s=electronics&sr=1-157
B071SDRGWL,"boAt Type-c A400 Type-c to USB A Cable for All Type C Phones (Lg nexus 5x), 1Mtr(Black)",Computers&Accessories|Accessories&Peripherals|Cables&Accessories|Cables|USBCables,₹349,₹699,50%,4.3,"20,850","R1G4I5FLAHM16P,R1DXRMVWV2OVE8,R2BJFG3I9TAZ2P,R35RERUQG5AERU,RQVMA35UH4D2P,R2WKO9Y6VGUOOP,R1NECHJ8DC9INS,RDDDU5N0JHZS7","Just buy it dont even 2nd guess it,Quality is good,Nylon braided quiet sturdy,Amazing,Feels like steel harnessed wire - strong,Sturdy and durable. Useful for charging Power Banks,good,Nice quality",https://m.media-amazon.com/images/I/41alINWQKXL._SX300_SY300_QL70_FMwebp_.jpg,https://www.amazon.in/Indestructible-Type-C-Cable-Type-Phones/dp/B071SDRGWL/ref=sr_1_158?qid=1672909131&s=electronics&sr=1-158
